2026-09-22 05:00:39,ClearFake,domain,danhbalbaluatsu.net,#phishing,https://threatfox.abuse.ch/ioc/1926774/
2026-09-21 19:45:39,php.shin_webshell,domain,delavana.workers.dev,#Cloudflare #gif #PHP #webshell #WordPress #workers.dev #wp-admin,https://threatfox.abuse.ch/ioc/1926802/
2026-09-21 15:54:27,IClickFix,domain,dewaaromfabriek.nl,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926572/
2026-09-22 05:00:42,ClearFake,domain,dome.beatdropkec.com,#ClearFake #ClickFix #etherhiding,https://threatfox.abuse.ch/ioc/1926659/
2026-09-21 15:54:27,IClickFix,domain,dreamzfashion.co.in,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926573/
2026-09-21 15:54:27,IClickFix,domain,emorocho.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926574/
2026-09-21 15:54:27,IClickFix,domain,endowafrica.net,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926575/
2026-09-21 15:54:27,IClickFix,domain,etigroup.in,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926576/
2026-09-21 15:54:28,IClickFix,domain,exprorich.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926577/
2026-09-21 15:54:28,IClickFix,domain,fayyazfayzi.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926578/
2026-09-21 21:39:39,php.shin_webshell,domain,fsqay0dqeh.workers.dev,#Cloudflare #gif #PHP #webshell #WordPress #workers.dev #wp-admin,https://threatfox.abuse.ch/ioc/1926858/
2026-09-22 06:30:31,ClearFake,domain,gewebstudio.ch,#compromised #etherhide,https://threatfox.abuse.ch/ioc/1927234/
2026-09-22 01:23:06,ClearFake,domain,girlraisedinthesouth.com,#compromised #etherhide,https://threatfox.abuse.ch/ioc/1927027/
2026-09-21 19:17:51,IClickFix,domain,glustrioenbrisk.life,#ClickFix,https://threatfox.abuse.ch/ioc/1926783/
2026-09-21 15:53:39,IClickFix,domain,grove-kaee-j4jgh.lol,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926557/
2026-09-21 15:54:28,IClickFix,domain,gulbaharsanatatolyesi.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926579/
2026-09-21 15:54:28,IClickFix,domain,happyweddings.in,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926580/
2026-09-22 05:00:01,Unknown malware,domain,heartbeatpipe.net,#ClickFix #etherhide,https://threatfox.abuse.ch/ioc/1926945/
2026-09-22 10:35:45,Vidar,domain,hh.1betasia.org,#Vidar,https://threatfox.abuse.ch/ioc/1927308/
2026-09-22 10:35:46,Vidar,domain,hh.hg77.org,#Vidar,https://threatfox.abuse.ch/ioc/1927310/
2026-09-21 15:54:28,IClickFix,domain,hikmafoundation.org,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926581/
2026-09-21 17:35:34,php.shin_webshell,domain,hnmsy28331.workers.dev,#Cloudflare #gif #PHP #webshell #WordPress #workers.dev #wp-admin,https://threatfox.abuse.ch/ioc/1926670/
2026-09-22 03:06:21,ClearFake,domain,hqe8g423.shop-burnflow.com,#ClearFake #mac-0x76c7 #macOS,https://threatfox.abuse.ch/ioc/1927090/
2026-09-21 15:54:28,IClickFix,domain,htnurdu.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926582/
2026-09-22 05:00:42,FAKEUPDATES,domain,impact.hjdeboer.com,#SocGholish,https://infosec.exchange/@monitorsg/117310137141587342
2026-09-21 15:54:28,IClickFix,domain,instavirus.shop,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926583/
2026-09-21 18:39:05,ClearFake,domain,internationaltreeservice.com,#ClearFake,https://threatfox.abuse.ch/ioc/1926773/
2026-09-21 13:33:58,php.shin_webshell,domain,ivory951.workers.dev,#Cloudflare #gif #PHP #webshell #WordPress #workers.dev #wp-admin,https://threatfox.abuse.ch/ioc/1926488/
2026-09-22 03:32:58,ClearFake,domain,j8y10lg7.oralsurgeontintonfalls.com,#ClearFake #mac-0x68dc #macOS,https://threatfox.abuse.ch/ioc/1927099/
2026-09-21 21:51:17,vSkimmer,domain,js-static.com,#skimming,https://threatfox.abuse.ch/ioc/1926905/
